dataset,method,query_id,ndcg@10,mrr@10,recall@100
scifact,bm25,577,0.0,0.0,0.0
scifact,bm25,578,1.0,1.0,1.0
scifact,bm25,587,0.3562071871080222,0.16666666666666666,1.0
scifact,bm25,589,1.0,1.0,1.0
scifact,bm25,593,1.0,1.0,1.0
scifact,bm25,597,0.9217868789962071,1.0,1.0
scifact,bm25,598,0.3562071871080222,0.16666666666666666,1.0
scifact,bm25,613,1.0,1.0,1.0
scifact,bm25,619,0.2640681225725909,0.25,0.5
scifact,bm25,623,0.0,0.0,1.0
scifact,bm25,628,0.6309297535714575,0.5,1.0
scifact,bm25,636,0.5,0.3333333333333333,1.0
scifact,bm25,637,0.3562071871080222,0.16666666666666666,1.0
scifact,bm25,641,0.6131471927654584,1.0,1.0
scifact,bm25,644,0.6309297535714575,0.5,1.0
scifact,bm25,649,1.0,1.0,1.0
scifact,bm25,659,1.0,1.0,1.0
scifact,bm25,660,1.0,1.0,1.0
scifact,bm25,674,1.0,1.0,1.0
scifact,bm25,684,1.0,1.0,1.0
scifact,bm25,690,0.0,0.0,1.0
scifact,bm25,691,1.0,1.0,1.0
scifact,bm25,692,1.0,1.0,1.0
scifact,bm25,693,1.0,1.0,1.0
scifact,bm25,70,1.0,1.0,1.0
scifact,bm25,700,0.6309297535714575,0.5,1.0
scifact,bm25,702,0.5,0.3333333333333333,1.0
scifact,bm25,715,0.0,0.0,1.0
scifact,bm25,716,0.0,0.0,0.0
scifact,bm25,718,0.6309297535714575,0.5,1.0
scifact,bm25,72,0.31546487678572877,0.125,1.0
scifact,bm25,721,1.0,1.0,1.0
scifact,bm25,723,1.0,1.0,1.0
scifact,bm25,727,0.6309297535714575,0.5,1.0
scifact,bm25,728,0.6052602440527057,0.5,1.0
scifact,bm25,729,0.6309297535714575,0.5,1.0
scifact,bm25,742,1.0,1.0,1.0
scifact,bm25,743,1.0,1.0,1.0
scifact,bm25,744,0.6309297535714575,0.5,1.0
scifact,bm25,75,0.6309297535714575,0.5,1.0
scifact,bm25,756,0.2890648263178879,0.1,1.0
scifact,bm25,759,1.0,1.0,1.0
scifact,bm25,768,0.43067655807339306,0.25,1.0
scifact,bm25,770,1.0,1.0,1.0
scifact,bm25,775,0.0,0.0,0.0
scifact,bm25,781,0.6309297535714575,0.5,1.0
scifact,bm25,783,0.0,0.0,1.0
scifact,bm25,784,0.5,0.3333333333333333,1.0
scifact,bm25,785,0.6309297535714575,0.5,1.0
scifact,bm25,793,1.0,1.0,1.0
scifact,bm25,800,0.0,0.0,0.0
scifact,bm25,805,1.0,1.0,1.0
scifact,bm25,808,1.0,1.0,1.0
scifact,bm25,811,1.0,1.0,1.0
scifact,bm25,814,1.0,1.0,1.0
scifact,bm25,820,0.0,0.0,1.0
scifact,bm25,821,0.0,0.0,1.0
scifact,bm25,823,1.0,1.0,1.0
scifact,bm25,830,0.38685280723454163,0.2,1.0
scifact,bm25,831,0.0,0.0,1.0
scifact,bm25,832,1.0,1.0,1.0
scifact,bm25,834,0.0,0.0,1.0
scifact,bm25,837,1.0,1.0,1.0
scifact,bm25,839,1.0,1.0,1.0
scifact,bm25,845,1.0,1.0,1.0
scifact,bm25,847,1.0,1.0,1.0
scifact,bm25,852,1.0,1.0,1.0
scifact,bm25,859,0.6309297535714575,0.5,1.0
scifact,bm25,870,0.0,0.0,0.0
scifact,bm25,873,0.0,0.0,0.8
scifact,bm25,879,1.0,1.0,1.0
scifact,bm25,880,1.0,1.0,1.0
scifact,bm25,882,1.0,1.0,1.0
scifact,bm25,887,0.0,0.0,0.0
scifact,bm25,903,1.0,1.0,1.0
scifact,bm25,904,1.0,1.0,1.0
scifact,bm25,907,1.0,1.0,1.0
scifact,bm25,911,1.0,1.0,1.0
scifact,bm25,913,0.0,0.0,0.0
scifact,bm25,914,0.0,0.0,0.0
scifact,bm25,921,0.6309297535714575,0.5,1.0
scifact,bm25,922,1.0,1.0,1.0
scifact,bm25,936,1.0,1.0,1.0
scifact,bm25,94,1.0,1.0,1.0
scifact,bm25,956,0.5,0.3333333333333333,1.0
scifact,bm25,957,0.6309297535714575,0.5,1.0
scifact,bm25,960,1.0,1.0,1.0
scifact,bm25,967,0.9197207891481876,1.0,1.0
scifact,bm25,971,0.6533933590057491,0.3333333333333333,1.0
